"decision","total","relevance","viral_potential","neuropravo_fit","avatar_fit","title","hook","source_url"
"SKIP_AFTER_EDITORIAL_REVIEW","26","6","2","10","8","Как схема чет-нечет работает для транзитников на АЗС","Редакторский отказ: тема релевантна, но сценарий слабый; зритель может возразить, что нужно было заправиться заранее; фиксация отказа на АЗС выглядит натянутой.","https://t.me/BFMnews/71445"
"WATCHLIST","20","2","2","8","8","Автошколы сокращают часы вождения вместо обещанной программы","Автошколы сокращают часы вождения вместо обещанной программы","https://t.me/BFMnews/71465"
"WATCHLIST","18","2","2","6","8","Новый порядок расчета стоимости запчастей по ОСАГО","Вы ничего не нарушали, но доступ к деньгам внезапно стал вопросом поддержки.","https://t.me/BFMnews/71459"
"WATCHLIST","18","6","2","2","8","Опоздал на работу, потому что стоял за бензином","Опоздал на работу, потому что стоял за бензином","https://t.me/BFMnews/71504"
"WATCHLIST","16","4","0","8","4","Перевод себе более 200 тысяч через СБП может попасть под признаки мошенничества","Вы ничего не нарушали, но доступ к деньгам внезапно стал вопросом поддержки.","https://t.me/BFMnews/71476"
"SKIP","14","4","2","0","8","На фоне бензинового кризиса появились объявления о продаже мини-НПЗ","На фоне бензинового кризиса появились объявления о продаже мини-НПЗ","https://t.me/BFMnews/71485"
"WATCHLIST","14","4","0","6","4","С иностранной сим-картой не удастся открыть заблокированные ресурсы через роуминг","Иногда сделку срывает не человек, а связь, которая решила, что вы проблема.","https://t.me/BFMnews/71421"
"WATCHLIST","14","8","0","2","4","Компаниям рекомендовано перейти на удаленку из-за дефицита бензина","Компаниям рекомендовано перейти на удаленку из-за дефицита бензина","https://t.me/BFMnews/71403"
"WATCHLIST","12","4","0","4","4","Минцифры обсуждает идентификацию покупателей хостинга через Госуслуги","Минцифры обсуждает идентификацию покупателей хостинга через Госуслуги","https://t.me/BFMnews/71470"
"SKIP","12","8","0","0","4","Глэмпинги выставляют на продажу после спада рынка","Глэмпинги выставляют на продажу после спада рынка","https://t.me/BFMnews/71477"
"SKIP","12","4","0","4","4","S7 запустила сервис чаевых бортпроводникам","S7 запустила сервис чаевых бортпроводникам","https://t.me/BFMnews/71506"
"SKIP","12","6","0","2","4","Россия приостановила судоходство по Азово-Донскому каналу","Россия приостановила судоходство по Азово-Донскому каналу","https://t.me/BFMnews/71446"
"WATCHLIST","12","8","0","0","4","Работу снова приходится искать: бизнесу нужно меньше новых людей","Работу снова приходится искать: бизнесу нужно меньше новых людей","https://t.me/BFMnews/71424"
"WATCHLIST","12","2","2","0","8","ФНС против налоговых туристов","ФНС против налоговых туристов","https://t.me/BFMnews/71348"
"SKIP","10","6","0","0","4","Apple подала в суд на OpenAI из-за корпоративных секретов","Apple подала в суд на OpenAI из-за корпоративных секретов","https://t.me/BFMnews/71467"
"SKIP","10","0","2","4","4","Самолет из Астаны в Дубай возвращен в аэропорт вылета","Самолет из Астаны в Дубай возвращен в аэропорт вылета","https://t.me/BFMnews/71488"
"SKIP","10","0","0","6","4","Аэрофлот корректирует расписание из-за непогоды в Москве","Аэрофлот корректирует расписание из-за непогоды в Москве","https://t.me/BFMnews/71497"
"SKIP","10","4","0","2","4","Правительство обсуждает меры для стабилизации топливного рынка","Правительство обсуждает меры для стабилизации топливного рынка","https://t.me/BFMnews/71453"
"SKIP","10","6","0","0","4","Apple подала в суд на OpenAI из-за попытки украсть корпоративные секреты","Apple подала в суд на OpenAI из-за попытки украсть корпоративные секреты","https://t.me/BFMnews/71442"
"SKIP","10","2","0","4","4","Ураган повредил инфраструктуру и зооприют в регионах","Ураган повредил инфраструктуру и зооприют в регионах","https://t.me/BFMnews/71450"
"WATCHLIST","10","6","0","0","4","Дефицит дизеля ставит под угрозу сбор урожая","Дефицит дизеля ставит под угрозу сбор урожая","https://t.me/BFMnews/71340"
"WATCHLIST","10","0","2","4","4","Поступление в десятый класс — для избранных","Поступление в десятый класс — для избранных","https://t.me/BFMnews/71381"
"SKIP","10","0","0","6","4","Новому российскому самолету запретили летать в дождь, жару и холод","Новому российскому самолету запретили летать в дождь, жару и холод","https://t.me/BFMnews/71359"
"SKIP","10","2","0","4","4","Яндекс Go и Яндекс Заправки стали показывать наличие топлива и очереди на АЗС","Ваш бизнес может остановить не клиент и не конкурент, а решение платформы.","https://t.me/BFMnews/71323"
"SKIP","10","4","0","2","4","Бензин по 170 рублей и очереди на АЗС","Бензин по 170 рублей и очереди на АЗС","https://t.me/BFMnews/71422"
"SKIP","8","0","0","4","4","Российские туристы застряли в аэропортах Китая из-за тайфуна","Российские туристы застряли в аэропортах Китая из-за тайфуна","https://t.me/BFMnews/71503"
"SKIP","8","0","0","4","4","Пожар в баре Бангкока: погибли 27 человек","Пожар в баре Бангкока: погибли 27 человек","https://t.me/BFMnews/71513"
"SKIP","8","4","0","0","4","Плодоовощная продукция дорожает вслед за топливом","Плодоовощная продукция дорожает вслед за топливом","https://t.me/BFMnews/71456"
