source_url,platform,published_at,author,title_or_caption,views,likes,comments,shares,saves,duration_sec,topic_hint,notes
https://example.com/shorts/001,YouTube Shorts,2026-07-10,Бизнес-разбор,"Клиент не оплатил 480 тысяч и месяц кормит завтраками",85000,4100,320,140,0,58,дебиторка,"Сильная боль предпринимателя: долг есть, но кредитор слишком тихий"
https://example.com/shorts/002,TikTok,2026-07-09,Ремонт без нервов,"Приняли квартиру с ремонтом, а через две недели нашли дефекты на 300 тысяч",120000,6200,510,220,300,64,застройщик,"Подходит под приемку и акт; деньги и срок"
https://example.com/shorts/003,Instagram Reels,2026-07-08,Семейная история,"Брат сказал: потом разделим наследство по-честному",74000,2900,260,90,180,52,наследство,"Конфликт доверия и документов"
https://example.com/shorts/004,VK Clips,2026-07-07,Маркетплейс опыт,"Маркетплейс удержал выплаты, а продавец узнал об этом последним",46000,1300,180,60,0,48,маркетплейс,"Предпринимательская боль, но слабее метрики"
https://example.com/shorts/005,Dzen,2026-07-06,Покупатель прав?,"Магазин отказал в возврате, потому что упаковку уже открыли",56000,2100,240,50,0,45,возврат товара,"Бытовая тема, легко адаптировать"
https://example.com/shorts/006,YouTube Shorts,2026-07-05,Долги и расписки,"Расписка была, денег не вернули, а в суде начались сюрпризы",99000,5000,430,170,0,61,долг по расписке,"Тема близкая; есть документ и неожиданный поворот"
https://example.com/shorts/007,TikTok,2026-06-04,Личная драма,"Сосед обещал компенсировать залив, но передумал",150000,8000,700,300,420,55,залив квартиры,"Специально старше 30 дней для проверки отсева"
https://example.com/shorts/008,Manual,2026-07-04,Предпринимательская заметка,"Поставщик поднял цену после устной договоренности",23000,600,42,10,0,50,договор,"Метрики средние, но тема рабочая"
https://example.com/shorts/009,ViewStats,2026-07-03,Финансы малого бизнеса,"Кассовый разрыв начался не с продаж, а с неподписанного акта",67000,2400,310,80,0,59,акт выполненных работ,"Хороший мост между бизнесом и юридической фиксацией"
https://example.com/shorts/010,Apify,2026-07-02,Жизнь после развода,"Алименты платил переводами, но назначение платежа не писал",88000,3600,390,120,0,57,алименты,"Бытовой конфликт и доказательства платежей"
